Set,ID,Number,Name,Rarity,Owned,Link
PB32,PB18-U01,012,Ultraman Gaia (V2),X-Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/pb32/10012.jpg
PB32,PB18-U02,013,Ultraman Blu Aqua,X-Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/pb32/10013.jpg
PB32,PB18-U03,014,Ultraman Rosso Flame,X-Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/pb32/10014.jpg
PB18,PB18-U04,N/A,Ultraman Dyna,X-Rare,FALSE,https://img.yuyu-tei.jp/images/gamelogo/bs.svg
PB18,PB18-U05,N/A,Ultraman Tarou,X-Rare,FALSE,https://img.yuyu-tei.jp/images/gamelogo/bs.svg
PB32,PB18-U06,015,Glitter Tiga,X-Rare,TRUE,https://img.yuyu-tei.jp/card_image/bs/front/pb32/10015.jpg
PB18,PB18-U07,N/A,Nebula M78,X-Rare,TRUE,https://img.yuyu-tei.jp/images/gamelogo/bs.svg
